,campaign_id,ad_id,impressions,clicks,spent,date,reach,link_external_clicks,join_rate
185,1028456275,157191795,2354,1,"250,00",2023-08-03,2247,0,0
186,1028456275,157191795,1384,2,"149,93",2023-08-04,1352,1,0
187,1028606159,157006800,6385,1,"250,00",2023-08-03,4981,1,0
188,1028606159,157006800,3906,1,"184,36",2023-08-04,3339,0,0
189,1028606159,157006799,5388,3,"250,00",2023-08-03,4032,1,0
190,1028606159,157006799,3535,1,"162,93",2023-08-04,2880,0,0
191,1028606159,157006799,1,0,0,2023-08-05,1,0,0
192,1028606159,157006798,6414,6,"250,00",2023-08-03,4938,0,0
193,1028606159,157006798,3670,2,"169,19",2023-08-04,3157,1,0
194,1028606159,157006798,1,0,0,2023-08-05,1,0,0
195,1028606159,157006795,4139,3,"250,00",2023-08-03,2977,2,0
196,1028606159,157006795,2240,2,"142,02",2023-08-04,1893,2,0
197,1028606159,157006795,1,0,0,2023-08-05,1,0,0
198,1028606159,157006793,6715,1,"250,00",2023-08-03,5155,1,0
199,1028606159,157006793,3542,0,"162,87",2023-08-04,3072,0,0
200,1028606159,157006793,1,0,0,2023-08-05,1,0,0
201,1028606159,157006792,6413,3,"250,00",2023-08-03,5100,1,0
202,1028606159,157006792,3713,1,"173,91",2023-08-04,3174,1,0
203,1028606159,157006792,1,0,0,2023-08-05,1,0,0
204,1028606159,157006792,1,0,0,2023-08-06,1,0,0
205,1028606159,157006791,8348,6,"250,00",2023-08-03,5189,0,0
206,1028606159,157006791,4738,3,"153,53",2023-08-04,3374,1,0
207,1028606159,157006791,1,0,0,2023-08-05,1,0,0
208,1028606159,157006791,1,0,0,2023-08-06,1,0,0
209,1028606159,157006789,6147,2,"249,91",2023-08-03,4827,1,0
210,1028606159,157006789,3708,0,"170,10",2023-08-04,3165,0,0
211,1028545993,156214205,4959,5,"497,87",2023-08-03,4431,2,0
212,1028545993,156214205,2507,4,"259,15",2023-08-04,2370,4,0
213,1028545993,156213343,2086,2,"250,00",2023-08-03,1878,2,0
214,1028545993,156213343,1181,3,"147,02",2023-08-04,1122,2,0
215,1028545963,156213198,4941,8,"500,00",2023-08-03,4265,5,0
216,1028545963,156213198,2165,3,"238,79",2023-08-04,2082,3,0
217,1028545963,156212536,2233,4,"250,00",2023-08-03,2138,3,0
218,1028545963,156212536,1272,0,"161,60",2023-08-04,1268,0,0
219,1028545963,156212533,1830,2,"249,55",2023-08-03,1732,1,0
220,1028545963,156212533,1076,0,"148,65",2023-08-04,1066,0,0
221,1028545761,156209328,2433,4,"246,48",2023-08-03,2267,4,0
222,1028545761,156209328,1417,2,"153,52",2023-08-04,1380,1,0
223,1028545761,156208963,2182,3,"249,35",2023-08-03,2103,2,0
224,1028545761,156208963,1475,4,"198,24",2023-08-04,1451,1,0
225,1028545761,156208678,2105,3,"250,00",2023-08-03,1916,0,1
226,1028545761,156208678,1012,2,"126,02",2023-08-04,981,2,0
227,1028542322,156169637,1983,6,"250,00",2023-08-03,1853,2,1
228,1028542322,156169637,909,0,"124,28",2023-08-04,901,0,0
229,1028542322,156169637,1,0,0,2023-08-06,1,0,0
230,1028542322,156169636,2500,0,"249,00",2023-08-03,2352,0,0
231,1028542322,156169636,1221,2,"127,76",2023-08-04,1208,1,0
232,1028527934,155967489,5638,12,"500,00",2023-08-03,3790,7,1
233,1028527934,155967489,2951,3,"265,32",2023-08-04,2393,1,0
